outcome,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10
1,B,0.3076,C,B,A,0.67478,C,G,26.56830,R
1,A,0.3136,C,B,A,3.55087,F,E,35.92821,L
0,B,0.4552,A,B,E,3.52230,B,C,79.97742,J
1,B,0.6818,A,A,E,5.96025,D,G,86.48348,M
0,B,0.3927,D,A,B,5.10728,D,I,56.34908,C
0,A,0.4496,B,A,A,9.72372,C,I,87.52750,H
0,B,0.7451,A,B,A,3.42610,C,H,1.857255,F
0,A,0.5632,C,A,A,0.26692,D,A,67.10630,Q
1,B,0.2699,B,B,A,2.81216,D,B,45.39768,F
1,B,0.5567,A,B,B,1.35129,F,B,78.09572,S
0,B,0.8098,A,B,A,5.16602,B,C,44.01122,B
0,A,0.0009,D,B,E,7.90250,B,A,88.89794,D
0,B,0.8019,A,A,A,4.33159,B,D,98.22428,M
0,B,0.6352,D,B,C,7.95482,F,B,87.34086,C
1,A,0.4478,D,A,E,8.44200,F,H,51.86267,H
0,A,0.3652,A,B,A,2.90741,E,C,76.39851,O
0,A,0.7533,A,B,A,1.41934,F,B,60.47619,E
0,B,0.9337,A,B,C,7.06676,B,I,56.99102,O
1,B,0.9382,A,A,A,9.00178,E,G,62.03841,N
1,B,0.1398,B,A,A,5.07269,D,G,46.89260,P
0,A,0.6562,A,A,C,6.91001,B,D,1.668899,R
1,A,0.2929,A,C,A,7.96533,D,E,58.69040,P
0,B,0.7660,C,B,A,9.19402,C,E,52.12079,I
1,B,0.5036,A,A,E,9.24370,E,A,5.655553,E
1,A,0.0416,C,A,C,6.10963,F,H,40.20677,P
1,A,0.7169,A,C,C,4.24838,D,B,62.53161,E
1,A,0.0257,A,A,A,0.23462,B,F,86.04490,I
1,A,0.1755,B,B,E,6.04902,D,A,16.00717,N
0,B,0.6481,B,A,B,0.38901,D,G,25.54810,D
0,A,0.4557,A,B,A,6.10829,C,E,17.18426,C
0,B,0.6790,A,B,C,3.91079,B,E,56.64449,K
0,A,0.5667,D,A,A,5.14589,F,E,36.53039,K
1,A,0.3662,A,B,A,0.91103,C,C,52.05097,B
0,A,0.4373,B,B,E,7.66820,C,I,87.34217,F
0,B,0.0883,B,B,C,9.04229,D,A,44.94766,O
0,B,0.4177,A,B,A,3.59507,A,I,89.04561,H
0,B,0.8873,C,B,A,5.21116,B,I,14.60126,P
1,B,0.6029,B,B,A,4.62251,B,B,78.37402,H
1,B,0.7018,D,A,E,0.91345,D,E,65.70032,H
1,A,0.1094,C,C,C,8.96544,C,G,79.67508,T
0,B,0.2800,A,A,A,4.85945,D,B,91.70371,O
0,B,0.6364,A,A,A,1.15753,D,I,84.97891,E
1,A,0.5528,B,B,E,0.60041,B,G,34.49400,K
1,A,0.0563,A,C,B,0.06799,C,I,88.79706,M
1,B,0.6699,C,A,A,4.34758,E,B,17.59311,Q
0,A,0.6914,D,A,A,4.34396,B,B,85.54891,C
0,B,0.2442,C,B,E,8.59778,B,B,91.34549,K
0,A,0.0874,A,A,B,5.37249,E,I,60.65959,I
1,B,0.5209,C,B,A,8.08251,F,E,47.25116,O
0,B,0.2358,C,B,A,4.11212,D,D,23.28938,B
1,B,0.1234,C,A,E,4.69844,B,C,2.639174,L
0,B,0.7667,A,A,A,4.76230,E,A,4.850726,M
0,A,0.8125,B,A,A,1.66272,E,B,82.64858,H
1,B,0.4728,B,B,C,2.06501,F,H,68.11352,H
0,A,0.9397,A,A,B,0.77427,A,I,41.49791,P
1,B,0.9234,A,C,B,9.47710,D,F,14.01112,M
0,B,0.8987,C,C,A,4.34578,D,B,17.57525,N
1,A,0.5379,B,B,A,4.09574,D,I,47.40560,H
0,B,0.8027,C,B,A,9.75545,D,E,81.68371,I
1,B,0.0840,B,C,C,3.17258,B,J,89.65108,I
1,B,0.3612,D,A,A,5.59640,F,B,50.99532,P
0,B,0.9722,A,B,B,1.07217,E,E,34.81776,D
1,A,0.8016,A,B,A,6.72628,F,C,35.48701,Q
0,A,0.5439,B,B,A,5.36496,B,I,69.31462,F
1,A,0.2226,B,B,E,9.20463,E,B,31.91777,E
1,B,0.4112,D,B,C,8.07997,D,C,45.27121,G
1,B,0.9046,A,B,C,8.45180,C,D,64.25000,B
0,B,0.6358,A,A,B,0.35644,D,D,5.907832,L
1,A,0.1283,A,A,E,3.43750,E,D,63.80253,K
1,A,0.1581,A,A,B,3.08830,B,G,56.11379,B
1,A,0.7194,D,B,A,3.73029,C,E,49.38127,M
0,B,0.4450,D,B,A,1.08125,D,H,14.46153,B
0,A,0.9838,C,A,C,0.35219,E,H,31.08775,G
0,A,0.1182,B,A,C,3.11697,E,B,25.01500,K
0,A,0.4978,B,B,A,4.92817,B,B,31.76136,K
0,B,0.5625,A,C,A,2.11097,B,D,69.43811,I
0,B,0.5912,B,B,E,6.02383,E,F,75.74546,L
1,B,0.2633,C,B,A,6.77639,D,F,69.35081,L
0,B,0.1499,B,B,A,5.54466,C,B,68.57145,Q
0,A,0.5080,B,C,B,8.43194,C,D,54.73012,M
1,A,0.5910,C,A,A,6.25981,C,G,74.49783,F
1,A,0.7122,A,B,A,2.07203,D,G,50.20908,Q
0,B,0.4943,B,A,C,5.43815,F,C,57.66880,I
0,B,0.8593,B,B,E,4.71586,C,C,63.70733,I
0,A,0.0631,B,B,A,3.25018,A,D,12.34595,H
1,B,0.5842,A,A,A,3.23337,F,E,67.60721,S
1,A,0.9202,A,B,B,5.02239,E,I,86.18024,K
1,B,0.6516,A,A,A,9.94607,D,E,95.85661,S
0,B,0.6784,A,B,A,5.97993,E,E,67.19016,D
1,B,0.6893,D,A,C,4.00521,D,E,75.08652,G
0,B,0.5460,A,B,A,0.60025,C,A,3.059793,S
0,B,0.8415,B,B,E,3.68100,C,B,39.81253,N
1,B,0.0307,D,C,B,8.63828,D,E,31.44608,R
0,A,0.8478,C,A,C,4.32202,E,B,55.43366,I
1,A,0.7627,A,B,C,4.13029,C,F,48.55276,H
1,A,0.0322,A,B,A,9.00537,C,B,1.581247,N
1,A,0.4903,D,A,B,0.53472,B,F,41.51738,K
0,B,0.8235,A,A,A,4.92752,C,F,18.09049,N
1,B,0.1835,B,C,C,5.15444,C,I,40.19848,R
0,A,0.0559,A,B,C,6.52006,B,J,48.74850,L
1,B,0.3857,A,B,C,3.43082,B,D,11.34260,C
1,A,0.4657,B,A,A,5.79822,C,D,16.24849,O
0,A,0.7378,A,A,D,5.09643,E,D,0.638959,H
0,B,0.8079,C,A,A,0.08264,E,A,2.595264,S
1,B,0.1461,B,A,B,8.95827,C,B,52.93268,I
0,A,0.8974,B,B,C,3.68741,E,C,59.55902,B
0,B,0.7738,A,C,A,1.91582,F,B,42.90864,J
1,B,0.3099,D,B,E,7.25535,E,H,84.63423,R
1,A,0.1398,A,B,E,4.87495,C,I,21.12725,J
1,A,0.2146,B,B,A,3.11076,E,F,25.50621,Q
0,A,0.0134,B,A,D,3.15198,D,B,31.85453,N
0,B,0.1854,B,B,A,0.34759,C,B,35.72302,F
1,B,0.0494,B,B,D,0.07725,A,A,95.52124,A
0,A,0.0788,C,B,A,1.28554,A,C,17.93776,J
0,B,0.8065,A,B,E,4.29712,B,C,54.78502,M
0,B,0.0800,A,B,A,8.45655,C,B,42.53569,H
1,A,0.4154,C,B,A,0.08972,A,B,15.12580,S
0,B,0.6020,A,A,A,3.42720,D,B,78.31873,B
1,B,0.2896,D,B,C,5.05106,A,B,5.692025,G
0,A,0.0694,A,C,B,5.46792,D,H,95.76755,R
1,A,0.8508,B,B,C,7.38339,B,F,92.61126,A
1,B,0.7554,A,B,A,8.50996,B,C,18.11159,B
0,B,0.7628,A,A,A,5.24338,A,B,56.32139,T
1,A,0.1976,A,B,E,0.47984,B,D,62.87442,F
1,A,0.7099,A,A,C,8.11673,D,B,29.35894,Q
0,B,0.7492,A,B,E,2.05355,D,E,9.349255,M
1,A,0.3496,A,B,C,8.79975,F,I,21.48508,G
0,B,0.7794,C,A,C,0.31911,D,B,34.72128,T
0,B,0.2864,A,A,C,1.03614,E,B,89.31007,T
1,A,0.0037,D,B,A,5.08297,C,C,75.72535,F
0,B,0.9407,A,B,E,4.44032,C,C,70.47240,I
1,B,0.1441,A,A,C,3.53339,C,D,24.25256,J
1,B,0.3125,A,A,A,5.57744,C,E,97.66131,G
1,B,0.7441,C,A,A,9.51115,A,C,25.88983,T
0,A,0.0444,D,C,A,6.67937,F,C,25.07804,I
1,B,0.3106,C,A,A,5.75245,B,A,59.12042,S
1,A,0.8520,D,B,A,5.41936,D,B,83.32230,B
1,A,0.4888,D,A,A,7.21676,C,I,17.20705,R
1,B,0.1063,A,A,B,1.73462,E,I,31.84540,T
0,B,0.5913,C,B,B,1.38545,C,B,29.67466,H
0,B,0.8439,A,B,A,7.07996,E,J,34.59545,L
1,B,0.4052,B,B,D,4.71235,A,G,49.68566,D
0,B,0.7343,A,A,A,5.23360,B,C,29.56210,Q
1,A,0.2015,A,B,A,0.56635,B,E,19.09599,G
1,A,0.8455,D,A,C,1.22133,D,B,19.78892,M
0,A,0.7777,C,A,B,0.68997,D,C,77.19885,E
0,B,0.5015,A,B,B,3.70339,F,B,86.10390,A
0,A,0.2711,D,B,A,4.11049,A,F,78.16647,K
0,A,0.5887,B,B,C,2.37130,D,E,77.21044,K
1,A,0.1174,D,B,A,1.86433,E,E,84.82464,R
0,A,0.1254,C,B,A,9.93988,B,A,74.91716,R
1,B,0.0957,B,C,E,7.32598,D,G,92.28301,D
1,A,0.5498,B,B,C,1.47678,B,A,44.41317,N
1,A,0.7519,A,B,C,4.16087,F,B,42.97765,T
0,B,0.7628,C,C,E,9.34220,F,B,59.46300,F
1,A,0.1875,B,C,B,9.30025,B,E,81.96260,I
0,A,0.0381,C,B,C,3.46723,D,F,47.46782,B
1,B,0.5841,A,A,C,7.21352,D,B,1.815963,O
1,A,0.3113,B,B,E,5.65686,C,C,99.46389,J
1,B,0.9432,D,B,D,9.16589,C,D,44.84822,S
0,A,0.3668,A,B,A,9.60959,C,E,67.41815,F
1,B,0.3965,B,C,B,1.21816,C,B,82.22966,H
0,B,0.9614,A,B,E,5.89444,F,H,58.61398,N
0,A,0.6606,A,B,A,1.17637,D,D,96.86573,I
0,B,0.0139,C,B,E,7.38903,C,I,83.86639,C
1,B,0.6520,C,B,C,8.10878,C,B,57.73547,A
1,B,0.3359,A,A,A,3.38775,A,B,18.15207,N
0,A,0.7945,A,A,B,7.70319,E,C,16.02924,P
0,A,0.7986,A,A,C,4.70204,D,E,54.40457,S
0,A,0.9910,C,B,A,0.73758,C,A,52.68059,M
1,B,0.2577,B,A,A,3.16313,D,E,61.36882,A
0,A,0.4301,A,B,A,9.06397,C,B,42.04181,K
0,A,0.3732,A,B,E,8.24095,A,E,80.64340,H
1,A,0.1796,C,B,A,9.98963,F,D,35.56824,A
1,A,0.9056,A,A,A,2.12785,B,C,8.567535,G
1,B,0.2054,C,B,A,8.11748,E,B,93.45329,L
1,B,0.6209,C,B,A,1.50072,C,I,45.55343,Q
1,B,0.2465,C,B,A,3.08355,A,A,70.71285,O
0,B,0.6812,D,A,A,8.92616,C,G,57.53400,B
1,A,0.0673,B,C,A,4.41264,F,E,52.30260,G
0,B,0.8713,A,B,A,0.41293,F,G,65.10612,T
0,A,0.1880,A,A,C,1.82654,C,E,96.71890,L
1,B,0.9828,A,B,C,3.47095,D,B,39.13911,M
1,A,0.0692,A,B,A,6.40211,E,B,9.796317,E
1,A,0.5870,B,A,C,3.17537,F,E,96.06969,R
1,B,0.0954,B,A,A,5.57823,E,F,4.092845,Q
0,A,0.2367,D,B,A,7.09709,D,D,96.53301,D
1,B,0.4081,D,B,E,4.81141,D,C,32.87094,T
1,B,0.7961,C,B,A,4.56171,B,C,4.340666,H
1,A,0.1945,B,B,E,1.87968,B,G,62.96409,G
0,B,0.5029,D,A,A,3.93384,C,C,83.57456,E
0,B,0.6223,A,A,C,3.14452,F,C,37.03272,N
1,A,0.4132,D,B,A,2.98690,D,J,22.17362,H
1,B,0.4607,B,A,C,1.14573,A,I,93.57758,F
0,A,0.3290,B,B,C,1.50295,C,G,34.82025,J
0,B,0.8734,A,A,C,5.35428,D,D,57.79816,B
0,B,0.4038,A,B,C,5.89596,C,E,16.93358,E
0,A,0.5937,B,A,D,8.75597,E,I,47.72946,J
0,B,0.4087,A,C,A,0.64658,A,F,46.14312,F
0,A,0.1634,B,B,A,6.75749,D,G,39.86405,T
1,B,0.7936,B,A,A,6.02999,D,B,99.38794,D
0,B,0.5166,B,A,A,1.69058,B,D,87.79481,N
0,A,0.0691,C,B,C,3.47849,D,B,45.85568,K
0,B,0.1358,A,B,A,0.76424,B,I,96.80478,C
1,B,0.1898,D,A,E,6.88384,C,G,16.58201,A
0,B,0.4108,A,C,A,8.73493,D,B,90.93027,B
0,A,0.1299,B,B,D,3.77713,F,F,80.37141,P
0,B,0.3117,A,C,A,3.23210,B,E,96.59490,B
0,B,0.8071,A,C,A,2.70629,D,D,78.01606,R
0,A,0.1967,D,A,A,5.41425,B,B,31.08725,E
0,B,0.0371,B,B,B,7.77209,C,D,47.85257,D
0,B,0.4423,A,B,A,0.22468,D,B,95.14276,G
0,B,0.5743,A,B,A,6.46403,C,E,72.42252,T
0,A,0.0186,A,B,A,5.83887,D,D,30.53269,E
1,A,0.1370,A,B,A,1.17239,E,E,24.51675,D
0,B,0.3386,B,B,B,1.24540,A,B,54.00470,N
0,B,0.3304,C,B,B,0.20030,B,G,37.30272,M
0,B,0.6550,C,B,C,9.66567,A,G,90.77007,N
1,A,0.3670,D,A,A,4.26220,B,G,45.76939,P
0,B,0.5168,A,B,C,7.81203,D,E,79.31788,K
1,B,0.8151,C,B,C,6.73004,B,F,25.77202,O
0,B,0.9922,B,B,B,6.30943,E,B,47.03227,D
1,A,0.4343,A,B,C,2.02451,C,E,19.03007,M
1,A,0.6049,A,B,A,6.79913,B,G,37.42829,Q
0,B,0.0424,D,A,C,8.79684,C,H,23.73625,A
1,A,0.0178,B,B,B,0.40910,E,B,9.055864,S
0,B,0.5496,D,B,E,9.00491,E,E,43.16317,R
1,B,0.1526,C,A,E,9.09224,D,E,90.20190,O
0,B,0.5899,A,B,A,6.49222,F,A,17.95505,J
0,B,0.8220,C,B,A,5.78208,D,B,71.14678,G
1,B,0.7300,A,A,A,6.09565,D,E,64.64192,A
1,B,0.5322,B,B,A,3.39828,A,E,3.867767,B
1,A,0.0545,A,A,E,6.84868,C,J,23.57783,G
1,B,0.1339,A,B,A,9.18768,B,F,8.826746,P
1,A,0.2832,D,B,A,1.50872,E,C,60.82105,P
1,A,0.0624,D,C,B,6.19481,F,B,61.96828,Q
1,B,0.4739,A,A,A,8.79722,E,B,41.41051,H
0,B,0.5187,A,B,C,4.67827,D,E,52.40665,A
1,B,0.2677,D,A,A,0.78774,C,C,52.41891,J
1,A,0.9429,D,B,C,6.59322,C,C,57.53203,O
0,B,0.9758,C,A,C,1.30895,C,B,8.935591,K
0,B,0.9838,A,B,A,5.52353,D,B,8.200633,M
1,B,0.1943,A,B,C,0.15482,C,G,12.56212,R
1,B,0.9329,D,B,A,5.68593,C,F,50.83262,F
1,B,0.4454,A,A,E,8.01594,C,F,30.92005,J
1,A,0.3065,B,B,B,3.41494,A,I,14.89062,G
1,A,0.0382,D,C,C,1.06511,D,D,13.24920,L
1,A,0.6478,C,A,C,4.01838,F,F,57.16487,T
1,B,0.8881,A,B,B,7.78451,C,I,69.62784,F
1,B,0.0891,A,B,A,3.31349,B,J,91.75832,H
0,A,0.4507,B,A,A,8.87752,B,D,15.01626,P
1,B,0.5356,B,B,A,3.93984,E,B,35.35021,L
1,B,0.5776,D,B,C,6.40397,E,E,69.66869,D
1,A,0.3030,A,B,E,6.73216,B,G,5.352035,B
1,B,0.2980,A,C,C,1.88808,C,B,14.13260,C
0,B,0.2152,A,B,D,6.12279,C,B,33.73913,G
0,B,0.6818,C,B,B,2.42984,B,I,89.77032,A
0,A,0.0668,A,B,A,1.15998,D,E,93.11295,G
1,B,0.3038,D,A,B,6.55695,F,B,95.36441,B
1,B,0.2235,A,B,A,0.69250,F,E,52.71092,B
0,B,0.5754,D,C,C,5.82405,B,B,73.77986,J
1,B,0.9713,A,B,A,0.66844,C,J,68.73396,K
1,B,0.1823,A,B,A,8.06569,D,E,95.15241,C
1,A,0.2115,A,A,A,2.65936,D,B,70.62042,Q
1,B,0.4522,B,A,A,0.32270,F,B,57.91442,B
1,A,0.3489,D,A,C,1.62886,C,B,26.88080,P
1,B,0.8489,C,B,E,5.65948,D,B,10.41991,M
1,B,0.7097,B,B,E,5.52672,B,I,75.11997,O
0,B,0.3096,D,A,A,5.06095,E,B,85.42022,R
1,B,0.0852,D,B,A,4.63664,B,F,63.75899,B
0,A,0.1473,C,B,A,8.73763,B,B,58.82006,O
1,B,0.4649,B,A,A,0.79920,B,B,97.48712,F
1,B,0.4587,D,B,A,5.95570,C,B,15.01891,M
1,B,0.2280,B,A,A,8.43680,B,I,9.629454,C
0,A,0.1478,D,B,A,1.66114,C,C,24.85463,E
0,A,0.5360,D,B,C,1.26716,B,H,63.65547,O
1,B,0.9532,D,A,A,0.10857,E,E,80.82256,Q
0,A,0.0042,C,A,E,3.28740,C,B,88.39548,Q
0,B,0.6696,A,B,A,6.21465,D,I,36.17529,H
0,B,0.7444,B,A,A,8.50275,B,F,17.81952,A
0,A,0.8227,A,B,A,7.88943,B,D,63.95515,P
0,A,0.6828,A,C,B,1.73477,F,B,12.17414,H
1,A,0.3200,A,B,A,6.83939,D,C,81.72208,C
1,A,0.5190,B,A,D,3.34733,A,F,32.49664,F
0,A,0.2633,B,A,A,4.48479,C,C,47.04707,F
1,B,0.3209,A,B,C,7.78534,D,E,57.83365,A
1,B,0.1219,A,B,E,9.52120,C,B,76.99213,O
1,A,0.4444,D,A,A,9.11731,D,I,96.22277,F
1,B,0.1810,A,B,C,4.95093,F,E,84.87737,R
0,B,0.0666,C,B,B,2.02194,C,B,97.78376,R
1,B,0.0200,C,C,D,1.13141,D,D,72.57211,H
1,A,0.1308,A,A,C,8.01577,B,H,38.33639,I
1,B,0.1645,A,A,A,4.99139,E,F,74.35616,O
0,B,0.9840,C,A,D,8.50430,E,F,58.34868,K
0,A,0.7672,C,A,A,2.25021,A,H,15.36622,N
0,B,0.6405,B,B,D,3.11285,D,C,40.06762,J
1,B,0.4261,C,C,A,5.98628,D,B,8.097272,F
1,B,0.2714,C,B,A,2.91989,B,D,7.146410,N
1,B,0.2588,D,B,B,6.63239,D,H,83.16147,Q
1,A,0.3543,B,B,E,7.57661,B,B,29.88879,E
0,A,0.1807,D,B,E,3.27841,C,E,87.41892,H
0,A,0.5285,D,A,B,1.53922,D,B,16.94332,R
1,B,0.8875,B,B,A,4.55332,D,A,28.42617,L
1,B,0.0993,C,B,A,4.84968,C,C,96.40877,C
1,A,0.4949,B,A,E,9.00833,A,G,68.46085,K
0,A,0.9876,A,A,E,4.58313,D,C,79.32991,L
1,B,0.5251,C,B,A,0.50660,F,A,7.070682,B
1,B,0.0546,A,A,C,4.84711,B,C,95.36542,S
1,A,0.2279,B,A,A,9.77561,B,C,26.13929,H
0,A,0.9782,A,B,A,8.99769,D,H,77.34334,H
1,A,0.1089,B,B,C,4.68758,E,A,42.91991,C
0,A,0.5682,C,A,B,8.06097,B,B,99.66956,H
0,A,0.2633,C,B,E,0.36530,A,E,92.47377,R
0,B,0.3266,D,A,A,8.14406,C,H,20.70077,P
1,B,0.5068,A,A,C,8.16299,B,D,36.55381,R
0,A,0.7054,B,B,A,5.18834,B,A,14.18452,T
0,A,0.5034,B,A,B,3.28760,E,B,45.37851,I
1,A,0.1943,C,B,B,5.11736,E,B,14.59996,R
0,B,0.6249,B,B,C,3.10044,B,B,96.22781,A
1,A,0.2989,A,B,E,6.71477,B,H,81.42093,N
0,B,0.3741,A,C,B,9.68494,C,D,51.38911,K
0,A,0.4368,B,B,B,8.83416,C,I,38.19317,C
1,B,0.7723,A,B,E,6.90362,A,H,70.11185,L
1,B,0.1794,A,B,A,3.94245,F,B,98.24343,D
0,A,0.7587,A,B,A,6.11227,B,E,74.65670,Q
1,B,0.8778,A,B,B,6.15425,F,A,6.899109,B
0,B,0.3105,B,B,A,1.74674,C,I,15.62767,S
1,B,0.1421,A,A,C,3.98389,D,D,94.52381,N
1,A,0.4387,B,C,E,5.82389,F,G,12.69211,M
0,A,0.3692,B,B,C,1.74904,B,B,33.75252,B
1,A,0.4805,D,B,A,6.68298,C,I,97.10878,C
0,A,0.1854,C,B,E,6.62014,B,D,75.03873,O
0,B,0.0233,B,B,C,2.18959,D,B,49.96965,E
1,A,0.2221,B,B,E,7.49185,A,B,68.91819,E
0,A,0.1448,A,B,D,3.94181,D,I,33.38556,Q
1,B,0.8835,C,B,C,7.27944,B,I,28.02947,E
1,A,0.5067,A,B,A,4.83428,D,F,47.64323,A
0,A,0.9935,A,B,B,3.59153,C,B,85.56742,O
1,B,0.3993,A,B,C,5.60611,B,I,91.10270,Q
1,A,0.4838,B,A,E,4.10351,E,B,79.70005,K
0,A,0.7427,D,C,A,4.61025,B,B,56.01914,I
1,B,0.0082,B,B,C,4.90764,C,B,23.85343,R
0,B,0.0993,A,B,A,4.86423,E,E,15.94020,G
1,A,0.1203,A,A,C,8.30516,C,G,2.590278,I
1,B,0.3269,A,A,C,4.46637,C,I,35.92099,C
0,B,0.9903,A,B,C,2.32710,D,E,92.83475,E
0,A,0.9750,B,A,A,7.18999,A,I,25.65245,F
1,B,0.1770,C,B,E,0.66436,D,B,55.96795,M
0,B,0.1980,D,B,A,2.40339,E,B,56.11416,R
0,B,0.5641,C,B,A,3.80216,F,D,44.60253,F
0,B,0.5701,A,B,A,5.16219,C,B,1.930199,B
0,B,0.0371,C,A,A,0.32523,D,D,42.06529,S
0,A,0.2426,B,C,C,3.54310,B,H,27.61157,B
0,B,0.7557,A,A,A,9.86328,C,G,0.406774,G
0,A,0.3730,A,A,C,8.54970,C,H,60.25605,F
0,A,0.4810,B,B,E,2.10203,F,B,29.20659,G
1,A,0.2860,A,B,B,2.71619,E,B,68.77354,M
0,A,0.9457,C,B,A,2.31954,D,I,29.96162,K
0,A,0.3177,B,B,E,2.06032,C,E,19.50069,E
0,B,0.1825,B,A,A,0.56468,D,E,62.47283,O
1,B,0.9715,C,B,C,0.23295,E,D,69.88170,I
0,B,0.1710,A,B,A,8.62843,E,B,39.12881,O
0,B,0.7499,A,B,C,9.95342,C,I,93.04683,M
1,B,0.9427,D,B,A,4.15937,C,B,51.19164,O
0,B,0.6235,C,C,C,6.92553,C,B,40.86868,H
1,B,0.5326,B,B,C,8.82520,C,E,53.80707,O
1,A,0.4709,B,A,E,4.14790,C,F,39.45651,K
1,B,0.0780,A,A,A,2.38244,C,D,53.71055,B
0,B,0.7850,A,B,D,2.44665,C,C,15.26157,B
0,B,0.5208,B,A,E,9.56209,D,E,84.41249,O
0,A,0.4766,D,B,C,0.84199,A,I,37.73956,L
0,B,0.0439,D,B,A,7.85127,D,I,79.02864,J
1,B,0.0458,C,B,E,6.50517,C,G,32.81853,S
1,B,0.6408,A,B,A,8.40783,E,F,34.34692,Q
0,B,0.9515,C,B,C,7.58753,B,D,32.30865,I
1,A,0.1543,A,B,A,2.48240,B,F,68.46637,S
0,B,0.9692,B,B,C,4.30312,B,G,92.66605,I
1,B,0.9977,D,C,B,8.16464,F,H,32.73896,R
1,A,0.8640,B,B,B,2.37720,D,B,12.64195,F
1,B,0.6767,A,B,A,1.46897,C,E,68.41107,M
1,A,0.7522,B,B,C,8.45586,D,B,87.51813,M
0,B,0.0297,A,B,E,8.23284,C,G,55.06128,D
1,B,0.0145,A,A,A,6.54010,D,I,86.16045,L
1,B,0.1958,A,C,A,9.91815,B,G,31.64285,G
0,A,0.8610,D,B,C,0.47968,D,B,61.78159,J
0,B,0.1086,B,B,C,9.64170,E,B,64.55539,M
0,B,0.2592,B,B,B,3.76116,B,C,41.74740,J
1,B,0.4044,A,B,A,4.14953,A,E,60.77414,Q
0,B,0.0412,C,A,E,5.77609,C,E,15.43904,L
1,B,0.7002,C,B,A,2.49792,F,B,12.30069,R
0,B,0.1183,B,B,A,9.98071,B,B,65.14516,K
0,A,0.3797,B,B,D,5.70463,A,C,86.15688,G
1,B,0.7417,B,B,C,6.46660,A,B,12.38785,C
1,B,0.4157,B,B,C,6.91503,D,F,24.81112,G
1,A,0.8757,A,B,C,3.80976,C,B,74.50202,L
1,B,0.7370,A,B,A,9.41316,A,C,75.76174,N
0,A,0.4744,A,C,A,4.37879,B,I,21.84728,P
0,A,0.7406,D,B,A,2.39220,B,I,30.57794,G
1,B,0.4540,A,A,B,5.02454,F,B,6.546272,P
1,A,0.7213,C,B,A,2.96050,A,C,35.19672,F
0,B,0.3862,D,B,C,2.09353,E,I,77.62301,H
1,B,0.7673,B,A,A,0.83579,E,C,28.35701,T
0,B,0.8483,D,A,E,4.92275,D,D,6.792961,K
0,B,0.3768,A,B,C,1.62365,C,B,38.36646,B
1,B,0.7797,C,B,D,8.45935,B,A,34.56236,H
1,A,0.5202,B,B,D,3.73093,A,F,28.79470,E
0,A,0.4306,B,B,A,3.74803,C,H,82.26383,P
1,B,0.6063,A,C,D,2.63502,E,B,39.96236,I
0,B,0.6295,A,B,A,7.03707,D,F,31.74038,D
1,B,0.3329,C,B,E,9.30149,D,H,77.75665,A
0,A,0.4113,C,B,E,6.45463,B,H,42.57899,B
1,B,0.0027,A,A,E,7.50684,F,C,24.06473,F
1,B,0.7837,B,B,E,9.15911,E,I,11.67888,K
1,B,0.3006,B,A,D,1.54417,C,I,88.01095,F
1,A,0.4633,C,A,A,4.80175,A,E,41.94743,B
0,A,0.8860,B,C,E,5.48186,B,D,40.90915,T
1,B,0.5607,C,A,B,8.60955,B,B,45.29018,T
1,A,0.7810,A,A,A,0.85570,F,H,32.79029,N
0,A,0.9354,D,A,A,5.27418,F,E,72.06083,Q
1,A,0.1517,C,B,D,7.82124,B,A,82.43814,K
1,A,0.2643,B,A,C,6.75251,C,I,88.22718,K
0,A,0.0899,A,B,A,8.34192,C,G,40.61452,F
0,A,0.1167,D,A,A,8.56591,C,I,34.84634,F
1,A,0.5280,A,B,A,1.87437,B,E,84.72118,N
1,A,0.8121,A,B,A,4.40353,D,B,50.13474,E
1,A,0.4497,C,B,A,9.72102,D,B,58.46156,O
1,B,0.2478,A,A,A,9.18656,B,B,13.96126,I
1,B,0.2710,A,B,A,7.67564,D,B,24.78392,B
0,B,0.2069,A,A,E,3.13721,A,B,19.15657,F
1,B,0.3425,C,A,A,6.55786,F,E,93.49406,L
0,B,0.5176,C,B,A,2.67068,F,C,12.19055,C
0,B,0.5071,B,B,C,2.69244,D,H,58.15939,S
1,B,0.6168,A,C,C,3.08161,F,H,48.16943,F
1,A,0.3432,A,A,A,3.99346,B,D,85.50789,Q
1,B,0.1127,A,B,A,8.50270,F,B,46.66441,B
0,B,0.8036,B,B,A,6.30229,A,D,16.82335,R
0,B,0.7728,A,A,E,8.03475,D,E,95.29115,C
0,A,0.7302,B,A,A,0.89204,E,E,51.60048,L
1,B,0.3090,B,B,B,7.63392,D,B,77.16899,G
0,B,0.5168,C,B,B,0.72062,D,J,8.940855,P
0,A,0.9087,A,A,A,7.49779,D,B,33.80250,K
0,A,0.9434,A,B,C,8.81195,D,A,27.07145,H
0,B,0.0547,D,B,A,0.46237,B,B,74.75710,M
0,B,0.7240,D,B,A,3.50831,B,F,17.33496,A
0,A,0.0305,A,B,A,4.25492,D,F,87.30742,J
0,A,0.9460,B,B,A,6.93241,B,C,25.61090,P
0,A,0.2301,C,A,C,3.56351,C,F,11.03246,H
0,B,0.5137,D,B,E,9.32998,B,B,21.89009,O
0,B,0.3687,B,B,A,0.76179,C,J,57.78476,O
